PolicyId,AgeConducteur,SexeConducteur,StatutMatrimonial,BonusMalus,FrequencePaiement,CodeProfession,AgeVehicule,ClasseVehicule,PuissanceVehicule,CarburantVehicule,UsageVehicule,Garage,Region,PrimeCommerciale
90133120.100b,36.0,M,null,64.0,Annual,null,7.0,More expensive,P16,Regular,Private+trip to office,Closed zbox,Paris area,473.2
90153112.100b,38.0,M,null,56.99999999999999,Half-yearly,null,6.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,South West,562.3
90163076.101b,31.0,F,null,76.0,Half-yearly,null,13.0,Cheaper,P9,Regular,Private+trip to office,Opened collective parking,Center,306.8
90153251.100b,28.0,F,null,60.0,Half-yearly,null,1.0,Cheapest,P8,Regular,Private+trip to office,Closed collective parking,Center,359.2
160.104a,70.0,F,Cohabiting,75.0,Annual,Private employee,0.0,Medium low,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,953.0
90158146.100b,56.0,F,null,50.0,Annual,null,6.0,Cheaper,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,418.4
90145689.100c,35.0,M,null,80.0,Half-yearly,null,16.0,Cheaper,P11,Diesel,Private+trip to office,Street,South West,351.7
90130066.101a,43.0,M,Cohabiting,50.0,Annual,Public employee,11.0,Medium low,P12,Diesel,Private+trip to office,Closed zbox,Center,184.5
70203015.100b,32.0,F,Cohabiting,53.0,Half-yearly,Public employee,11.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Paris area,214.6
70100106.100a,47.0,M,Married,67.0,Half-yearly,Public employee,14.0,Cheapest,P8,Regular,Private+trip to office,Closed collective parking,Center,250.3
90165193.100a,22.0,M,null,90.0,Annual,null,9.0,Cheapest,P10,Diesel,Private+trip to office,Opened collective parking,Center,491.4
90108279.100a,37.0,M,Married,118.0,Half-yearly,Private employee,7.0,Cheaper,P12,Diesel,Professional,Street,Center,682.4
90111218.101a,22.0,F,Cohabiting,118.0,Annual,Private employee,8.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,510.2
90118475.101a,33.0,M,Cohabiting,50.0,Half-yearly,Private employee,3.0,Cheaper,P11,Regular,Private+trip to office,Opened collective parking,Center,381.8
90133372.100a,49.0,M,null,50.0,Annual,null,12.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,155.3
90133037.100a,49.0,M,null,80.0,Half-yearly,null,12.0,Medium high,P16,Regular,Private+trip to office,Street,Headquarters,638.0
90144637.100b,31.0,M,null,56.99999999999999,Half-yearly,null,3.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,South West,814.1
90152541.103b,36.0,F,null,50.0,Half-yearly,null,6.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Paris area,590.4
90128462.101a,48.0,M,Cohabiting,50.0,Half-yearly,Private employee,10.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Center,273.8
90152042.101a,54.0,M,null,50.0,Half-yearly,null,12.0,Cheapest,P7,Regular,Private+trip to office,Closed collective parking,Headquarters,191.8
90179815.100b,75.0,M,null,50.0,Annual,null,9.0,Cheaper,P10,Regular,Private+trip to office,Opened collective parking,Center,199.5
90113074.101b,31.0,M,Cohabiting,60.0,Annual,Public employee,9.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,157.5
90145715.100a,36.0,M,null,50.0,Half-yearly,null,16.0,Cheapest,P7,Regular,Private+trip to office,Closed zbox,South West,149.8
90175995.100a,57.0,M,null,54.0,Half-yearly,null,1.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,Center,339.3
90194672.101b,33.0,M,null,52.0,Half-yearly,null,3.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Paris area,449.1
90177918.100a,56.0,F,null,50.0,Half-yearly,null,10.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,275.9
90191213.100a,33.0,F,null,60.0,Half-yearly,null,4.0,Cheap,P14,Diesel,Private+trip to office,Closed collective parking,Center,633.7
90152270.100c,25.0,F,null,90.0,Half-yearly,null,14.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,419.3
90134801.100a,24.0,M,null,80.0,Annual,null,10.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,322.1
90168866.100b,50.0,M,null,55.00000000000001,Annual,null,2.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,461.9
90127258.101b,28.0,M,Married,64.0,Half-yearly,Public employee,8.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,458.3
90103661.100a,36.0,M,Single,90.0,Annual,Private employee,1.0,Cheap,P12,Diesel,Private+trip to office,Street,Center,832.5
90145264.101b,34.0,M,null,62.0,Half-yearly,null,11.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,Paris area,259.9
90134960.100a,49.0,F,null,50.0,Half-yearly,null,7.0,Cheapest,P10,Diesel,Private+trip to office,Closed zbox,Center,271.8
90149166.100a,49.0,M,null,50.0,Quarterly,null,15.0,Medium low,P11,Diesel,Private+trip to office,Closed zbox,Center,221.8
90131561.100a,31.0,M,null,60.0,Annual,null,10.0,Cheapest,P11,Regular,Private+trip to office,Street,Center,325.2
90127107.100a,27.0,F,Cohabiting,55.00000000000001,Half-yearly,Retiree,1.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,313.5
90159022.100a,29.0,M,null,80.0,Half-yearly,null,7.0,Cheaper,P11,Diesel,Private+trip to office,Opened collective parking,South West,767.2
80201134.101a,31.0,M,Cohabiting,76.0,Quarterly,Private employee,16.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,Center,219.7
90117859.101a,47.0,M,Cohabiting,50.0,Half-yearly,Public employee,10.0,Medium low,P14,Diesel,Professional run,Closed collective parking,Paris area,547.9
90177953.100c,35.0,M,null,50.0,Quarterly,null,4.0,Cheaper,P11,Regular,Private+trip to office,Opened collective parking,South West,502.2
90111319.101a,50.0,F,Married,50.0,Annual,Private employee,8.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,228.8
90129461.101b,31.0,F,Cohabiting,56.99999999999999,Half-yearly,Other,5.0,Cheap,P13,Regular,Private+trip to office,Street,Paris area,710.6
90180794.100b,68.0,F,null,50.0,Half-yearly,null,6.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Headquarters,261.3
90193835.100a,26.0,M,null,90.0,Annual,null,4.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Paris area,965.4
80200054.10a,60.0,M,Cohabiting,50.0,Annual,Other,9.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,393.2
90189284.100c,26.0,M,null,90.0,Half-yearly,null,6.0,Cheaper,P12,Diesel,Private+trip to office,Closed collective parking,Center,419.2
90128699.101b,32.0,F,Married,60.0,Half-yearly,Private employee,10.0,Medium,P14,Regular,Private+trip to office,Closed zbox,Center,375.6
90129461.101c,30.0,F,Cohabiting,60.0,Half-yearly,Other,4.0,Cheap,P13,Regular,Private+trip to office,Street,Paris area,810.6
90127265.101a,66.0,M,Cohabiting,50.0,Annual,Public employee,7.0,Medium low,P12,Regular,Private+trip to office,Opened collective parking,Center,341.8
90152135.101b,26.0,F,null,56.99999999999999,Quarterly,null,11.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Center,192.2
90170791.100a,40.0,F,null,60.0,Annual,null,1.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Center,669.8
90170663.100c,28.0,M,null,76.0,Quarterly,null,3.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,899.3
90183980.100c,40.0,M,null,85.0,Half-yearly,null,11.0,Cheapest,P11,Regular,Private+trip to office,Street,Paris area,513.7
90105336.101b,25.0,F,Married,76.0,Half-yearly,Public employee,24.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,190.3
90156390.100b,76.0,M,null,50.0,Annual,null,2.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Headquarters,467.2
90146396.100a,56.0,F,null,50.0,Half-yearly,null,2.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Center,379.0
90145689.100d,35.0,M,null,80.0,Half-yearly,null,16.0,Cheapest,P8,Regular,Private+trip to office,Street,South West,298.1
90150399.100c,28.0,F,null,68.0,Annual,null,5.0,Cheaper,P12,Diesel,Private+trip to office,Street,Center,674.5
90156531.100b,33.0,F,null,100.0,Half-yearly,null,7.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,South West,417.0
90105120.102a,30.0,F,Cohabiting,72.0,Monthly,Public employee,15.0,Cheapest,P7,Regular,Private+trip to office,Street,Center,246.7
90170890.101a,49.0,M,null,50.0,Half-yearly,null,7.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Center,310.4
90125005.101a,51.0,F,Widowed,55.00000000000001,Annual,Retiree,8.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Paris area,206.3
90133199.103a,29.0,M,null,60.0,Half-yearly,null,9.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Paris area,303.9
90147253.100a,26.0,M,null,85.0,Half-yearly,null,7.0,Cheaper,P12,Regular,Private+trip to office,Opened collective parking,Center,687.7
90134903.100b,31.0,M,null,80.0,Half-yearly,null,8.0,Cheaper,P11,Regular,Private+trip to office,Closed collective parking,Paris area,579.7
1001421.100b,30.0,M,Single,64.0,Annual,Private employee,1.0,Cheaper,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,584.0
90167888.102b,48.0,M,null,50.0,Monthly,null,6.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,South West,232.2
90159919.100a,50.0,F,null,50.0,Half-yearly,null,1.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,Center,564.6
90157113.100a,28.0,F,null,80.0,Half-yearly,null,5.0,Cheaper,P9,Regular,Private+trip to office,Closed collective parking,South West,612.2
90110914.101a,50.0,M,Married,50.0,Half-yearly,Private employee,6.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,373.6
90163444.100b,40.0,F,null,50.0,Quarterly,null,5.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,636.6
90110142.101b,50.0,F,Married,100.0,Half-yearly,Private employee,11.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Center,444.4
90112572.101a,24.0,M,Married,90.0,Monthly,Public employee,4.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Center,1041.0
90155850.100b,46.0,M,null,50.0,Half-yearly,null,7.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,South West,347.4
90188397.100a,66.0,M,null,60.0,Half-yearly,null,6.0,Medium high,P14,Regular,Private+trip to office,Closed zbox,Headquarters,787.0
90119070.101b,23.0,M,Cohabiting,100.0,Half-yearly,Private employee,8.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,Headquarters,556.7
90110346.100b,33.0,M,Cohabiting,54.0,Annual,Private employee,8.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,196.7
90133276.100a,26.0,M,null,80.0,Half-yearly,null,8.0,Cheaper,P12,Diesel,Private+trip to office,Opened collective parking,Center,407.0
90146406.100a,67.0,F,null,56.99999999999999,Annual,null,0.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,Center,267.7
90108858.102a,63.0,M,Cohabiting,50.0,Annual,Retiree,10.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,118.3
90116167.104a,42.0,M,Cohabiting,50.0,Half-yearly,Private employee,9.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Center,184.5
90132987.101b,33.0,M,null,64.0,Annual,null,5.0,Cheaper,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,314.0
90149183.100a,32.0,F,null,56.99999999999999,Annual,null,9.0,Cheaper,P11,Diesel,Private+trip to office,Closed collective parking,Headquarters,196.1
90108296.101b,29.0,F,Cohabiting,60.0,Annual,Private employee,3.0,Cheap,P13,Diesel,Private+trip to office,Opened collective parking,Center,595.8
1002352.100c,41.0,M,Cohabiting,54.0,Annual,Public employee,8.0,Medium,P13,Diesel,Private+trip to office,Closed zbox,Headquarters,468.2
90157819.100a,40.0,F,null,68.0,Half-yearly,null,17.0,Cheapest,P9,Regular,Private+trip to office,Street,Headquarters,229.5
30200361.100a,45.0,M,Single,95.0,Quarterly,Private employee,15.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,425.9
90189851.100c,29.0,M,null,101.0,Monthly,null,12.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Paris area,773.2
90169053.100c,56.0,M,null,76.0,Monthly,null,8.0,Expensive,P16,Regular,Private+trip to office,Closed zbox,Paris area,1363.1
90148489.102b,35.0,F,null,72.0,Half-yearly,null,9.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Paris area,585.0
90133736.102b,49.0,M,null,54.0,Half-yearly,null,16.0,Cheaper,P11,Diesel,Private+trip to office,Closed collective parking,Paris area,234.7
90108671.101a,31.0,F,Single,68.0,Half-yearly,Private employee,6.0,Cheapest,P7,Regular,Private+trip to office,Opened collective parking,Headquarters,254.3
90171898.100a,59.0,M,null,50.0,Annual,null,13.0,Medium low,P12,Diesel,Private+trip to office,Closed zbox,South West,256.4
90133764.103a,51.0,M,null,50.0,Half-yearly,null,10.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,Center,193.7
90111316.100c,27.0,M,Married,85.0,Half-yearly,Private employee,12.0,Cheaper,P10,Regular,Private+trip to office,Opened collective parking,Paris area,454.6
90139516.101a,22.0,F,null,95.0,Half-yearly,null,16.0,Cheapest,P8,Regular,Private+trip to office,Street,Headquarters,396.7
90157768.101b,40.0,M,null,55.00000000000001,Half-yearly,null,6.0,Medium,P14,Diesel,Private+trip to office,Closed zbox,Paris area,640.0
