PolicyId,AgeConducteur,SexeConducteur,StatutMatrimonial,BonusMalus,FrequencePaiement,CodeProfession,AgeVehicule,ClasseVehicule,PuissanceVehicule,CarburantVehicule,UsageVehicule,Garage,Region,PrimeCommerciale
90111218.101b,18.0,F,Cohabiting,138.0,Annual,Private employee,48.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Center,649.1430788291362
90178025.100c,31.0,F,null,55.0,Annual,null,15.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,South West,476.17752583074383
90141516.100a,63.0,F,null,130.0,Half-yearly,null,23.0,Cheapest,P8,Regular,Private+trip to office,Street,Center,378.40050267267054
90145942.100a,19.0,F,null,94.0,Half-yearly,null,38.0,Expensive,P16,Diesel,Private+trip to office,Closed zbox,South West,1274.634707473025
90135294.102a,25.0,F,null,116.0,Half-yearly,null,34.0,Cheaper,P12,Diesel,Private+trip to office,Street,Center,904.256378192145
90141460.100b,30.0,M,null,60.00000000000001,Half-yearly,null,8.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,729.8815304596451
90146366.100b,46.0,M,null,117.0,Half-yearly,null,8.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,643.8247810636348
90169908.100a,41.0,M,null,112.0,Half-yearly,null,8.0,Affordable cars,P13,Diesel,Professional,Opened collective parking,Center,684.2095960197946
90154023.100a,35.0,M,null,55.0,Half-yearly,null,6.0,Affordable cars,P14,Regular,Private+trip to office,Closed zbox,South West,668.9422346403272
90106731.10a,18.0,M,Cohabiting,103.0,Monthly,Private employee,42.0,Cheaper,P12,Regular,Private+trip to office,Street,Center,1271.6552833130245
90184989.100a,59.0,M,null,160.0,Annual,null,29.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Headquarters,601.5230361751431
90161427.100a,61.0,M,null,139.0,Annual,null,19.0,Cheap,P12,Diesel,Private+trip to office,Street,Headquarters,608.9589427108534
90194399.101b,18.0,M,null,119.0,Half-yearly,null,45.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Headquarters,586.3904350535445
90145468.100a,27.0,F,null,55.0,Half-yearly,null,15.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,South West,231.77279227737492
90154164.100b,23.0,M,null,61.99999999999999,Half-yearly,null,13.0,Affordable cars,P14,Regular,Private+trip to office,Closed zbox,Center,463.86768417383496
90127252.101a,37.0,F,Cohabiting,55.0,Half-yearly,Private employee,18.0,Cheapest,P8,Regular,Professional run,Closed zbox,Center,218.58442572803955
90155362.101a,38.0,M,null,61.99999999999999,Annual,null,14.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,South West,487.2187992855452
90172120.100b,19.0,F,null,109.0,Half-yearly,null,41.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Headquarters,517.6408131993381
90183809.100a,65.0,M,null,128.0,Annual,null,17.0,Affordable cars,P12,Regular,Private+trip to office,Closed collective parking,Paris area,605.5389324936606
90126705.101a,41.0,F,Widowed,162.0,Annual,Private employee,10.0,Cheapest,P9,Diesel,Private+trip to office,Street,Center,608.915342408256
90133120.100b,28.0,M,null,69.0,Annual,null,12.0,Luxury cars,P16,Regular,Private+trip to office,Closed zbox,Paris area,572.7659780340136
90153112.100b,29.0,M,null,61.99999999999999,Half-yearly,null,11.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,South West,789.9608045147472
90163076.101b,23.0,F,null,81.0,Half-yearly,null,18.0,Cheaper,P9,Regular,Private+trip to office,Opened collective parking,Center,294.72232225773257
90153251.100b,18.0,F,null,85.0,Half-yearly,null,30.0,Cheapest,P8,Regular,Private+trip to office,Closed collective parking,Center,441.2889161946517
160.104a,57.0,F,Cohabiting,141.0,Annual,Private employee,10.0,Affordable cars,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,1079.5818350961886
90158146.100b,48.0,F,null,147.0,Annual,null,23.0,Cheaper,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,625.3503220445563
90145689.100c,27.0,M,null,85.0,Half-yearly,null,21.0,Cheaper,P11,Diesel,Private+trip to office,Street,South West,403.7569142574619
90130066.101a,35.0,M,Cohabiting,55.0,Annual,Public employee,16.0,Affordable cars,P12,Diesel,Private+trip to office,Closed zbox,Center,168.04462857774493
70203015.100b,23.0,F,Cohabiting,58.0,Half-yearly,Public employee,16.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Paris area,313.5288736193487
70100106.100a,39.0,M,Married,124.0,Half-yearly,Public employee,19.0,Cheapest,P8,Regular,Private+trip to office,Closed collective parking,Center,285.51411553116225
90165193.100a,18.0,M,null,112.0,Annual,null,37.0,Cheapest,P10,Diesel,Private+trip to office,Opened collective parking,Center,767.3471085043177
90108279.100a,25.0,M,Married,123.0,Half-yearly,Private employee,12.0,Cheaper,P12,Diesel,Professional,Street,Center,780.2972272302596
90111218.101a,18.0,F,Cohabiting,145.0,Annual,Private employee,34.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,611.3827809754633
90118475.101a,22.0,M,Cohabiting,55.0,Half-yearly,Private employee,8.0,Cheaper,P11,Regular,Private+trip to office,Opened collective parking,Center,549.4511277278035
90133372.100a,45.0,M,null,125.0,Annual,null,17.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,264.5580970404456
90133037.100a,43.0,M,null,154.0,Half-yearly,null,17.0,Affordable cars,P16,Regular,Private+trip to office,Street,Headquarters,625.5435363266587
90144637.100b,19.0,M,null,61.99999999999999,Half-yearly,null,8.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,South West,926.0829834127424
90152541.103b,24.0,F,null,55.0,Half-yearly,null,11.0,Affordable cars,P13,Regular,Private+trip to office,Closed zbox,Paris area,603.4911964405853
90128462.101a,37.0,M,Cohabiting,122.0,Half-yearly,Private employee,15.0,Affordable cars,P14,Regular,Private+trip to office,Closed zbox,Center,230.44789270983227
90152042.101a,43.0,M,null,118.0,Half-yearly,null,17.0,Cheapest,P7,Regular,Private+trip to office,Closed collective parking,Headquarters,327.2418571355986
90179815.100b,63.0,M,null,138.0,Annual,null,26.0,Cheaper,P10,Regular,Private+trip to office,Opened collective parking,Center,383.8952402401418
90113074.101b,24.0,M,Cohabiting,65.0,Annual,Public employee,14.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,275.30385658475
90145715.100a,31.0,M,null,55.0,Half-yearly,null,21.0,Cheapest,P7,Regular,Private+trip to office,Closed zbox,South West,289.3399055160559
90175995.100a,52.0,M,null,114.0,Half-yearly,null,19.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,Center,394.4211145518353
90194672.101b,23.0,M,null,57.0,Half-yearly,null,8.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Paris area,702.8977833269269
90177918.100a,50.0,F,null,139.0,Half-yearly,null,20.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,420.37298843647966
90191213.100a,27.0,F,null,65.0,Half-yearly,null,9.0,Cheap,P14,Diesel,Private+trip to office,Closed collective parking,Center,790.4135226247503
90152270.100c,18.0,F,null,113.0,Half-yearly,null,45.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,540.8863782121792
90134801.100a,20.0,M,null,100.0,Annual,null,35.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,414.4284925308254
90168866.100b,44.0,M,null,126.0,Annual,null,7.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,614.5183166091508
90127258.101b,23.0,M,Married,92.0,Half-yearly,Public employee,34.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,631.6687501171813
90103661.100a,26.0,M,Single,95.0,Annual,Private employee,6.0,Cheap,P12,Diesel,Private+trip to office,Street,Center,1049.087719934238
90145264.101b,27.0,M,null,67.0,Half-yearly,null,16.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,Paris area,541.4827879696244
90134960.100a,44.0,F,null,113.0,Half-yearly,null,12.0,Cheapest,P10,Diesel,Private+trip to office,Closed zbox,Center,397.123991013109
90149166.100a,42.0,M,null,113.0,Monthly,null,20.0,Affordable cars,P11,Diesel,Private+trip to office,Closed zbox,Center,315.0148386963176
90131561.100a,22.0,M,null,65.0,Annual,null,15.0,Cheapest,P11,Regular,Private+trip to office,Street,Center,461.3360480669865
90127107.100a,18.0,F,Cohabiting,87.0,Half-yearly,Retiree,34.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,489.6752068894588
90159022.100a,21.0,M,null,95.0,Half-yearly,null,40.0,Cheaper,P11,Diesel,Private+trip to office,Opened collective parking,South West,894.2164208348952
80201134.101a,23.0,M,Cohabiting,81.0,Monthly,Private employee,21.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,Center,235.58010304348923
90117859.101a,39.0,M,Cohabiting,116.0,Half-yearly,Public employee,15.0,Affordable cars,P14,Diesel,Professional run,Closed collective parking,Paris area,629.648246955706
90177953.100c,26.0,M,null,55.0,Monthly,null,9.0,Cheaper,P11,Regular,Private+trip to office,Opened collective parking,South West,668.4198926996506
90111319.101a,41.0,F,Married,132.0,Annual,Private employee,13.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,468.7228774188509
90129461.101b,21.0,F,Cohabiting,61.99999999999999,Half-yearly,Other,10.0,Cheap,P13,Regular,Private+trip to office,Street,Paris area,830.304832840529
90180794.100b,63.0,F,null,125.0,Half-yearly,null,20.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Headquarters,430.18030665193385
90193835.100a,18.0,M,null,116.0,Annual,null,32.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Paris area,1214.6073369651697
80200054.10a,44.0,M,Cohabiting,123.0,Annual,Other,26.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,621.0153172930319
90189284.100c,18.0,M,null,119.0,Half-yearly,null,27.0,Cheaper,P12,Diesel,Private+trip to office,Closed collective parking,Center,520.8352147821237
90128699.101b,22.0,F,Married,65.0,Half-yearly,Private employee,15.0,Affordable cars,P14,Regular,Private+trip to office,Closed zbox,Center,385.8800099663724
90129461.101c,18.0,F,Cohabiting,87.0,Half-yearly,Other,25.0,Cheap,P13,Regular,Private+trip to office,Street,Paris area,1019.6535830828284
90127265.101a,61.0,M,Cohabiting,107.0,Annual,Public employee,17.0,Affordable cars,P12,Regular,Private+trip to office,Opened collective parking,Center,414.60345497843474
90152135.101b,18.0,F,null,79.0,Monthly,null,38.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Center,326.6117815519639
90170791.100a,25.0,F,null,65.0,Annual,null,6.0,Affordable cars,P13,Regular,Private+trip to office,Closed zbox,Center,668.4505839789075
90170663.100c,20.0,M,null,100.0,Monthly,null,43.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,1055.2890596374457
90183980.100c,29.0,M,null,90.0,Half-yearly,null,16.0,Cheapest,P11,Regular,Private+trip to office,Street,Paris area,583.7136940270753
90105336.101b,18.0,F,Married,99.0,Half-yearly,Public employee,58.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,317.140727124354
90156390.100b,72.0,M,null,130.0,Annual,null,16.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Headquarters,622.2583282259181
90146396.100a,42.0,F,null,135.0,Half-yearly,null,13.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Center,671.724424717479
90145689.100d,26.0,M,null,85.0,Half-yearly,null,21.0,Cheapest,P8,Regular,Private+trip to office,Street,South West,329.36705110625536
90150399.100c,22.0,F,null,99.0,Annual,null,30.0,Cheaper,P12,Diesel,Private+trip to office,Street,Center,775.9630387953766
90156531.100b,23.0,F,null,105.0,Half-yearly,null,12.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,South West,499.74632401168645
90105120.102a,21.0,F,Cohabiting,101.0,Monthly,Public employee,44.0,Cheapest,P7,Regular,Private+trip to office,Street,Center,345.93346201036485
90170890.101a,41.0,M,null,133.0,Half-yearly,null,12.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Center,492.1543332182602
90125005.101a,44.0,F,Widowed,128.0,Annual,Retiree,13.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Paris area,243.18613892663348
90133199.103a,23.0,M,null,81.0,Half-yearly,null,42.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Paris area,557.364486920985
90147253.100a,18.0,M,null,107.0,Half-yearly,null,48.0,Cheaper,P12,Regular,Private+trip to office,Opened collective parking,Center,844.7017671914542
90134903.100b,22.0,M,null,85.0,Half-yearly,null,13.0,Cheaper,P11,Regular,Private+trip to office,Closed collective parking,Paris area,782.6055195889999
1001421.100b,21.0,M,Single,87.0,Annual,Private employee,30.0,Cheaper,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,654.8057377550408
90167888.102b,40.0,M,null,133.0,Monthly,null,11.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,South West,293.60061901134145
90159919.100a,42.0,F,null,115.0,Half-yearly,null,6.0,Affordable cars,P13,Diesel,Private+trip to office,Closed zbox,Center,595.5782195681991
90157113.100a,21.0,F,null,110.0,Half-yearly,null,33.0,Cheaper,P9,Regular,Private+trip to office,Closed collective parking,South West,693.1265609249986
90110914.101a,44.0,M,Married,124.0,Half-yearly,Private employee,11.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,606.5364459794221
90163444.100b,33.0,F,null,55.0,Monthly,null,10.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,900.6327601298758
90110142.101b,41.0,F,Married,175.0,Half-yearly,Private employee,16.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Center,531.5192551960013
90112572.101a,18.0,M,Married,119.0,Monthly,Public employee,37.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Center,1253.1014026330129
90155850.100b,35.0,M,null,121.0,Half-yearly,null,12.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,South West,411.5860538499449
90188397.100a,58.0,M,null,140.0,Half-yearly,null,18.0,Affordable cars,P14,Regular,Private+trip to office,Closed zbox,Headquarters,841.8887081840169
90119070.101b,18.0,M,Cohabiting,123.0,Half-yearly,Private employee,37.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,Headquarters,599.1912605871908
90110346.100b,26.0,M,Cohabiting,59.0,Annual,Private employee,13.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,308.6454184686922
90133276.100a,18.0,M,null,101.0,Half-yearly,null,37.0,Cheaper,P12,Diesel,Private+trip to office,Opened collective parking,Center,561.7134311229206
90146406.100a,59.0,F,null,135.0,Annual,null,16.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,Center,408.4002071184496
90108858.102a,52.0,M,Cohabiting,126.0,Annual,Retiree,29.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,295.4643380954543
90116167.104a,35.0,M,Cohabiting,55.0,Half-yearly,Private employee,14.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Center,481.8532805301811
90132987.101b,29.0,M,null,69.0,Annual,null,10.0,Cheaper,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,380.3958002670182
90149183.100a,25.0,F,null,61.99999999999999,Annual,null,14.0,Cheaper,P11,Diesel,Private+trip to office,Closed collective parking,Headquarters,396.606814840707
90108296.101b,18.0,F,Cohabiting,87.0,Annual,Private employee,38.0,Cheap,P13,Diesel,Private+trip to office,Opened collective parking,Center,663.3443335007383
1002352.100c,34.0,M,Cohabiting,59.0,Annual,Public employee,13.0,Affordable cars,P13,Diesel,Private+trip to office,Closed zbox,Headquarters,512.1235615938343
90157819.100a,29.0,F,null,73.0,Half-yearly,null,22.0,Cheapest,P9,Regular,Private+trip to office,Street,Headquarters,268.14985366195475
